asset_id,site_id,site_name,asset_tag,asset_category,make,model,serial_number,install_date,warranty_expiry,expected_life_years,criticality,condition,last_service_date,next_service_date,notes
ASSET-010,SITE-003,Centurion Mall,CM-HVAC-AHU-002,hvac-ahu,Trane,M-Series,TR2005-4421,2005-03-01,2010-03-01,20,critical,fair,2025-11-20,2026-02-20,Twin unit to AHU-002. Bearings replaced proactively Nov 2025 after learning from AHU-002 failure.
ASSET-011,SITE-003,Centurion Mall,CM-HVAC-AHU-002,hvac-ahu,Trane,M-Series,TR2005-4422,2005-03-01,2010-03-01,20,critical,good,2025-05-05,2026-08-05,Motor replaced May 2025 after catastrophic failure. Now running well with new motor.
ASSET-012,SITE-003,Centurion Mall,CM-GEN-001,generator,Perkins,4008TAG2A,PK2002-1122,2002-11-01,2007-11-01,25,critical,fair,2025-10-01,2026-01-01,23 years old. High utilisation during load shedding. Consider CAPEX replacement planning.
ASSET-020,SITE-005,Gateway Theatre of Shopping,GW-HVAC-CH-001,hvac-chiller,York,YVAA,YK2012-8821,2012-04-01,2017-04-01,20,critical,poor,2025-12-08,2026-03-08,CRITICAL: Compressor bearings failing. Oil analysis confirms metal contamination. Pattern matches Centurion AHU pre-failure.
ASSET-021,SITE-005,Gateway Theatre of Shopping,GW-HVAC-CT-001,hvac-cooling-tower,Baltimore Aircoil,VXC,BA2012-3321,2012-04-01,2022-04-01,25,essential,fair,2025-09-01,2026-03-01,13 years old. Good condition. Water treatment regime maintained.
ASSET-001,SITE-001,Rosebank Towers,RT-HVAC-CH-001,hvac-chiller,Carrier,30XA-452,CA2018-4521,2018-03-15,2023-03-15,20,critical,fair,2025-11-15,2026-02-15,7 years old. Running well. Minor efficiency decline noted.
ASSET-002,SITE-001,Rosebank Towers,RT-HVAC-CH-002,hvac-chiller,Carrier,30XA-452,CA2018-4522,2018-03-15,2023-03-15,20,critical,good,2025-10-20,2026-01-20,7 years old. Excellent condition.
ASSET-003,SITE-001,Rosebank Towers,RT-GEN-001,generator,Cummins,C1100D5,CUM2015-8842,2015-06-01,2020-06-01,25,critical,good,2025-04-16,2026-07-16,10 years old. Well maintained. Battery showing age - replacement recommended.
ASSET-004,SITE-002,Sandton City Office Tower,SC-LIFT-001,lift-passenger,Otis,Gen2,OT2016-1123,2016-08-01,2021-08-01,25,essential,good,2025-07-23,2026-01-23,Door operator replaced July 2025 after entrapment incident. Now running well.
ASSET-005,SITE-002,Sandton City Office Tower,SC-LIFT-002,lift-passenger,Otis,Gen2,OT2016-1124,2016-08-01,2021-08-01,25,essential,good,2025-10-15,2026-01-15,9 years old. Good condition. Regular maintenance.
ASSET-015,SITE-004,V&A Waterfront Retail,VW-HVAC-AHU-003,hvac-ahu,Carrier,39M,CA2013-7821,2013-06-01,2018-06-01,20,critical,good,2025-09-02,2026-03-02,VSD replaced Sept 2025 proactively. Running excellent.
ASSET-030,SITE-006,Mediclinic Sandton,MS-HVAC-CH-001,hvac-chiller,Carrier,30XW,CA2020-9912,2020-01-15,2025-01-15,20,critical,good,2025-12-01,2026-03-01,5 years old. Hospital critical. Excellent condition.
ASSET-031,SITE-006,Mediclinic Sandton,MS-GEN-001,generator,Caterpillar,C18,CAT2019-5521,2019-06-01,2024-06-01,25,critical,good,2025-06-15,2025-12-15,Hospital critical. Batteries replaced June 2025 after start failure.
ASSET-032,SITE-006,Mediclinic Sandton,MS-UPS-001,ups,Eaton,93PM,EA2019-4421,2019-06-01,2024-06-01,15,critical,good,2025-11-20,2026-02-20,Hospital critical. Battery bank healthy.
ASSET-035,SITE-007,Mediclinic Constantiaberg,MC-HVAC-AHU-001,hvac-ahu,Trane,Series R,TR2010-2231,2010-08-01,2015-08-01,20,critical,fair,2025-06-30,2025-12-30,15 years old. Hospital environment - needs more frequent filter changes.
ASSET-040,SITE-008,Standard Bank Centre,SBC-ELEC-DB-001,db-board,ABB,MNS,ABB2015-4421,2015-03-01,2020-03-01,30,critical,good,2025-08-15,2026-02-15,Main distribution board. 10 years old. Good condition.
ASSET-041,SITE-008,Standard Bank Centre,SBC-ELEC-UPS-001,ups,APC,Symmetra,APC2019-1122,2019-09-01,2024-09-01,15,critical,fair,2025-04-18,2025-10-18,Data centre UPS. Battery string degraded - replacement quoted.
ASSET-045,SITE-009,Standard Bank Rosebank,SBR-HVAC-FCU-012,hvac-split,Daikin,VRV IV,DK2019-8823,2019-11-01,2024-11-01,15,standard,good,2025-08-05,2026-02-05,Boardroom FCU. Drain line cleared Aug 2025.
ASSET-050,SITE-010,Standard Bank Durban Regional,SBD-GEN-001,generator,Cummins,C500D5,CUM2021-2231,2021-03-01,2026-03-01,25,critical,good,2025-09-15,2025-12-15,4 years old. Excellent condition. Well maintained.
