alarm_id,site_id,site_name,asset_id,asset_tag,alarm_code,alarm_description,severity,source,triggered_at,acknowledged_at,acknowledged_by,cleared_at,work_order_created,false_alarm,alarm_value,alarm_threshold,alarm_unit,notes
ALM-2025-0001,SITE-003,Centurion Mall,ASSET-011,CM-HVAC-AHU-002,HVAC-VIB-HIGH,Supply fan vibration high,warning,bms,2025-01-14 11:28:00,2025-01-14 11:35:00,BCC Operator,2025-01-14 14:30:00,WO-2025-0089,FALSE,5.1,4.5,mm/s,First alarm trigger on bearings
ALM-2025-0002,SITE-003,Centurion Mall,ASSET-011,CM-HVAC-AHU-002,HVAC-VIB-HIGH,Supply fan vibration high,warning,bms,2025-02-03 08:45:00,2025-02-03 08:52:00,BCC Operator,2025-02-03 09:30:00,,FALSE,4.8,4.5,mm/s,Intermittent alarm - cleared on its own
ALM-2025-0003,SITE-003,Centurion Mall,ASSET-011,CM-HVAC-AHU-002,HVAC-VIB-HIGH,Supply fan vibration high,warning,bms,2025-02-18 14:22:00,2025-02-18 14:30:00,BCC Operator,2025-02-18 15:00:00,,FALSE,5.0,4.5,mm/s,Recurring alarm - technician visit scheduled
ALM-2025-0004,SITE-003,Centurion Mall,ASSET-011,CM-HVAC-AHU-002,HVAC-VIB-CRIT,Supply fan vibration critical,major,bms,2025-03-08 16:40:00,2025-03-08 16:45:00,BCC Operator,2025-03-08 19:30:00,WO-2025-0234,FALSE,6.2,5.5,mm/s,Critical vibration - urgent callout
ALM-2025-0005,SITE-003,Centurion Mall,ASSET-011,CM-HVAC-AHU-002,HVAC-MOTOR-OVL,Motor overload trip,critical,bms,2025-04-22 10:12:00,2025-04-22 10:15:00,BCC Operator,2025-04-22 13:45:00,WO-2025-0356,FALSE,42,38,amps,Motor drawing high current
ALM-2025-0006,SITE-003,Centurion Mall,ASSET-011,CM-HVAC-AHU-002,HVAC-MOTOR-FAIL,Motor failure - unit stopped,critical,bms,2025-05-03 14:28:00,2025-05-03 14:30:00,BCC Operator,2025-05-05 18:30:00,WO-2025-0412,FALSE,0,0,amps,Complete motor failure
ALM-2025-0007,SITE-005,Gateway Theatre of Shopping,ASSET-020,GW-HVAC-CH-001,HVAC-VIB-HIGH,Compressor vibration high,warning,bms,2025-08-22 07:55:00,2025-08-22 08:05:00,BCC Operator,2025-08-22 12:30:00,WO-2025-0689,FALSE,3.8,4.0,mm/s,Just below threshold but flagged for monitoring
ALM-2025-0008,SITE-005,Gateway Theatre of Shopping,ASSET-020,GW-HVAC-CH-001,HVAC-VIB-HIGH,Compressor vibration high,warning,bms,2025-09-15 06:30:00,2025-09-15 06:45:00,BCC Operator,2025-09-15 08:00:00,,FALSE,4.2,4.0,mm/s,Above threshold now
ALM-2025-0009,SITE-005,Gateway Theatre of Shopping,ASSET-020,GW-HVAC-CH-001,HVAC-VIB-HIGH,Compressor vibration high,major,bms,2025-10-18 06:40:00,2025-10-18 06:50:00,BCC Operator,2025-10-18 11:45:00,WO-2025-0834,FALSE,4.6,4.0,mm/s,Significant vibration - technician dispatched
ALM-2025-0010,SITE-005,Gateway Theatre of Shopping,ASSET-020,GW-HVAC-CH-001,HVAC-VIB-CRIT,Compressor vibration critical,critical,bms,2025-12-08 13:55:00,2025-12-08 14:00:00,BCC Operator,2025-12-08 18:15:00,WO-2025-0956,FALSE,5.2,5.0,mm/s,Critical - same pattern as Centurion
