site_id,site_name,client_id,client_name,address,region,gla_sqm,building_age_years,bms_type,bms_vendor,data_availability,contract_start,annual_contract_value,sla_critical_hours,sla_high_hours,sla_medium_hours,last_audit_date,notes
SITE-001,Rosebank Towers,CLIENT-001,Redefine Properties,1 Biermann Ave Rosebank Johannesburg,gauteng,45000,12,bacnet,Honeywell,csv-export,2022-04-01,4500000,2,4,8,2025-09-15,Modern BMS. Good data availability via scheduled CSV exports.
SITE-002,Sandton City Office Tower,CLIENT-001,Redefine Properties,158 5th Street Sandton,gauteng,68000,8,bacnet,Siemens,api,2022-04-01,6800000,2,4,8,2025-11-20,Newest building. Full API access to BMS. Real-time data available.
SITE-003,Centurion Mall,CLIENT-001,Redefine Properties,Centurion Gauteng,gauteng,95000,25,proprietary,Johnson Controls (legacy),manual,2022-04-01,8500000,2,4,8,2025-06-10,Oldest building. Legacy BMS - data only via manual readings. AHU-002 failure in 2025.
SITE-004,V&A Waterfront Retail,CLIENT-002,Growthpoint Properties,Dock Road V&A Waterfront Cape Town,western-cape,120000,15,mixed,Schneider/Honeywell,csv-export,2021-01-01,12000000,2,4,8,2025-10-05,Mixed BMS environment. Two vendors. CSV exports available from both.
SITE-005,Gateway Theatre of Shopping,CLIENT-002,Growthpoint Properties,Palm Blvd Umhlanga Durban,kzn,180000,18,modbus,Schneider,csv-export,2021-01-01,15000000,2,4,8,2025-08-22,Large retail. Modbus BMS. Chiller showing failure pattern similar to Centurion.
SITE-006,Mediclinic Sandton,CLIENT-003,Mediclinic,Peter Place Sandton,gauteng,35000,10,bacnet,Honeywell,real-time,2023-07-01,5500000,1,2,4,2025-12-01,Hospital - critical environment. Full real-time BMS integration. Strictest SLAs.
SITE-007,Mediclinic Constantiaberg,CLIENT-003,Mediclinic,Constantia Cape Town,western-cape,42000,22,basic,Various,manual,2023-07-01,4800000,1,2,4,2025-07-15,Older hospital. Basic BMS. Data via manual readings only.
SITE-008,Standard Bank Centre,CLIENT-004,Standard Bank,5 Simmonds St Johannesburg,gauteng,85000,35,mixed,Siemens/Legacy,csv-export,2020-01-01,7500000,2,4,8,2025-09-30,Oldest commercial building. Mixed BMS from different eras. Data centre critical.
SITE-009,Standard Bank Rosebank,CLIENT-004,Standard Bank,Oxford Road Rosebank,gauteng,28000,6,bacnet,Siemens,api,2020-01-01,3200000,2,4,8,2025-11-10,Modern building. Full API integration. Excellent data quality.
SITE-010,Standard Bank Durban Regional,CLIENT-004,Standard Bank,Umhlanga Ridge Durban,kzn,18000,4,bacnet,Honeywell,real-time,2020-01-01,2100000,2,4,8,2025-12-05,Newest building. Full real-time integration. Benchmark for data availability.
